Aldridge2012,"Aldridge, Edith. 2012. Antipassive and ergativity in Tagalog. Lingua 122(3), 192-203."
Andersen1988,"Andersen, T. 1988. Ergativity in Pari, A Nilotic OVS Language. Lingua 75: 289- 324."
ArkadievLetuchiy2021,"Arkadiev, Peter & Alexander Letuchiy, forthc.: Indirect antipassives in Circassian. A forthcoming paper, downloaded from academia.edu on 23/11/2017. To appear in Janic, K. &  A. Witzlack-Makarevich (Eds.). The multifaceted nature of antipassive constructions. Typological Studies in Language. Amsterdam: Benjamins."
Bittner1994,"Bittner, Maria. 1994. Case, scope and binding. Dordrecht: Kluwer."
Charney1993,"Charney, Jean Ormsbee. 1993. A Grammar of Comanche. Studies in the Anthropology of North American Indians. Lincoln: University of Nebraska Press."
Cooreman1987,"Cooreman, Ann. 1987: Transitivity and Discourse Continuity in Chamorro Narratives. Berlin: Mouton de Gruyter."
Dixon1972,"Dixon, Robert M. W. 1972. The Dyirbal Language of North Queensland. (Cambridge Studies in Linguistics, 9.) Cambridge: Cambridge University Press."
Dixon1977,"Dixon, Robert M.W. 1977. A grammar of Yidin.  Cambridge University Press."
Doak1997,"Doak, Ivy Grace. 1997. Coeur d'Alene grammatical relations. University of Texas at Austin."
Doornenbal2009,"Doornenbal, Marius. 2009. A grammar of Bantawa: Grammar, paradigm tables, glossary and texts of a Rai language of Eastern Nepal. Rijksuniversiteit te Leiden doctoral dissertation."
Dunn1999,"Dunn, Michael J. 1999. A Grammar of Chukchi. Australian National University doctoral dissertation."
England1983,"England, Nora C. 1983. A Grammar of Mam, a Mayan Language (Texas Linguistics Series). Austin: University of Texas Press."
Fleck2003,"Fleck, David W. 2003. A Grammar of Matses. Houston: Rice University doctoral dissertation."
Forker2013,"Forker, Diana. .2013. A grammar of Hinuq. Mouton Grammar Library 63. Berlin: De Gruyter Mouton."
Queixalo2012,"Francesc Queixalo. 2012. Antipassive in Katukina-Kanamari. In Authier, G. & Haude, K. (eds),  Ergativity, valency and voice, 227-258. Berlin: Mouton de Gruyter."
GerdtsHukari2005,"Gerdts, Donna B. and Hukari, Thomas. 2005. Multiple Antipassives in Halkomelem Salish. Proceedings of the Annual Meeting of the Berkeley Linguistics Society 26, 51-62."
Grinvald-Craig1979,"Grinvald-Craig, Colette. 1979. The antipassive and Jacaltec. In Laura Martin (ed.), Papers in Mayan linguistics 1, 139-164. Columbia, Miss.: Lucas Brothers."
GuillaumeVuillermet2010,"Guillaume, Antoine & Marine Vuillermet. 2010. Constructions antipassives dans les languages tacana (Bolivie & Pérou). A talk given at Atelier de Morphosyntaxe, DDL, 26 November 2010."
Guillaume2008,"Guillaume, Antoine. 2008. A Grammar of Cavineña. [Mouton Grammar Library, 44]. Berlin/New York: De Gruyter."
Haude2016,"Haude 2016 (SLE presentation)"
Haude2006,"Haude, Katharina. 2006. A Grammar of Movima. Zetten: Manta."
Heaton2016,"Heaton, Raina. Variation and change: the case of movement verbs in Kaqchikel. International Journal of American Linguistics 82(3):317-352."
Jacques2014,"Jacques, Guillaume. 2014. Denominal affixes as sources of antipassive markers in Japhug Rgyalrong. Lingua 138, 1–22. Jacques, Guillaume. 2017. Antipassive derivations in Sino-Tibetan/Trans-Himalayan and their sources. Paper draft from May 31, 2017"
JuarezGonzalez2019,"Juarez, Jose Luis & Gonzalez, Cristian R. 2019-present. Documentation and Description of Northern Chaco Mocoví (Guaycuruan, Argentina)."
Keen1983,"Keen, Sandra. 1983. Yukulta. In Dixon, R. M. W. and Blake, Barry J. (eds.), Handbook of Australian Languages 3, 191-304. Amsterdam: John Benjamins."
Lanz2010,"Lanz, Linda A. 2010. A grammar of Iñupiaq morphosyntax. Houston: Rice University doctoral dissertation. Nagai, Tadataka. 2006. Agentive and patientive verb bases in North Alaskan Iñupiaq. Doctoral dissertation, University of Alaska Fairbanks."
LetuchiyA.B2012,"Letuchiy A.B. 2012. Ergativity in the Adyghe system of valency-changing derivations. In G. Authier, K. Haude (eds.), Ergativity, Valency and Voice,  323–354. Berlin, New York: Mouton de Gruyter."
Miyaoka2012,"Miyaoka, Osahito. 2012. A Grammar of Central Alaskan Yupik (CAY). Mouton Grammar Library 58. Berlin: Mouton de Gruyter ."
SapiénMeira2021,"Racquel-María Sapién, Natalia Cáceres Arandia, Spike Gildea, Sérgio Meira, Antipassive in the Cariban family. To appear in Janic, K. &  A. Witzlack-Makarevich (Eds.). The multifaceted nature of antipassive constructions. Typological Studies in Language. Amsterdam: Benjamins."
Rude1985,"Rude, Noel E. 1985. Studies in Nez Perce Grammar and Discourse."
Schackow2015,"Schackow, Diana. 2015. A grammar of Yakkha. Studies in Diversity Linguistics 7. Berlin: Language Science Press."
Schmidt2003,"Schmidt, Bodil Kappel. 2003. West Greenlandic antipassive. Proceedings of SCL 19, Vol 31, 2."
Sharma2014,"Sharma, Narayan Prasad. 2014. Morphosyntax of Puma, a Tibeto-Burman Language of Nepal. London: SOAS."
Spreng2002,"Spreng, Bettina. 2002. Verb Classes in Inuktitut and the Transitivity Hierarchy: 'Aspects' of Antipassive. [Proceedings of the Workshop on the Structure and Constituency of the Languages of the Americas 2001, UBCWPL (7), 89-107."
Spreng2005,"Spreng, Bettina. 2005. Third-person arguments in Inuktitut. In Armoskaite, Solveiga and Thompson, James J. (eds.), Proceedings of the Workshop on the Structure and Constituency of the Languages of the Americas 10, vol. 17, 215–225. Vancouver, BC: UBC Working Papers in Linguistics."
SumbatovaLander2014,"Sumbatova, Nina R. & Juri A. Lander. 2014. Darginskij govor selenija Tanty. Grammatičeskij očerk. Voprosy sintaksisa. (Pri učastii Magomeda Mameva). Moskva: JSK."
Tsunoda2011,"Tsunoda, Tasaku. 2011. A Grammar of Warrongo. Mouton Grammar Library 53. Berlin ; Boston: De Gruyter Mouton."
Watanabe2003,"Watanabe, Honoré. 2003. A Morphological Description of Sliammon, Mainland Comox Salish with a Sketch of Syntax (Endangered Languages of the Pacific Rim A 040). Osaka: ELPR. Publication of PhD 2000 Kyoto University."
Westerlund2013,"Westerlund, Torbjörn. 2013. Finite verbs in Ngarla (Pama-Nyungan, Ngayarta). Uppsala University doctoral dissertation"
